StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q5,Q25_1,Q27_1,Q27_2,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q31,Q33_1,Q35_1,Q35_2,Q36,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q39,Q41_1,Q43_1,Q43_2,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q47,Q49_1,Q51_1,Q51_2,Q52,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q55,Q57
2025-11-17 09:18:12,2025-11-17 09:23:05,IP Address,137.208.30.100,100,292,True,2025-11-17 09:23:06,R_8fpuFHnekhFgiT7,,,,,48.217,16.3944,anonymous,DE,Yes,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,3,5,5,3,4,5,5,5,5,5,4,4,3,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 09:18:45,2025-11-17 09:23:36,IP Address,137.208.30.100,100,291,True,2025-11-17 09:23:37,R_8ezbXGuOdEtXGjJ,,,,,48.217,16.3944,anonymous,DE,Yes,Male,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,2,1,2,2,2,1,5,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 09:20:50,2025-11-17 09:24:42,IP Address,137.208.30.100,100,232,True,2025-11-17 09:24:43,R_8DNASbRHy8Y1wwP,,,,,48.217,16.3944,anonymous,DE,Yes,Male,23,,,,,,,,,,,,,,,,,,,6,lehne völlig ab,,sehr niedrig,3,2,1,1,2,1,1,2,1,1,1,1,2,very low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
2025-11-17 10:00:20,2025-11-17 10:04:10,IP Address,137.208.30.100,100,229,True,2025-11-17 10:04:10,R_8vi6jxCNxZNcLVT,,,,,48.217,16.3944,anonymous,DE,Yes,Male,21,,,,,,,,,,,,,,,,,,,6,lehne völlig ab,lehne völlig ab,sehr niedrig,2,1,2,1,1,2,1,7,1,1,1,1,1,very low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 10:05:26,2025-11-17 10:08:51,IP Address,137.208.30.100,100,204,True,2025-11-17 10:08:51,R_2CvylMZI0VKZJZI,,,,,48.217,16.3944,anonymous,DE,Yes,Male,21,,,,,,,,,,,,,,,,,,,5,,lehne völlig ab,,2,2,5,4,2,2,1,4,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 10:07:15,2025-11-17 10:10:13,IP Address,137.208.30.100,100,177,True,2025-11-17 10:10:13,R_8OBnyVizd4S40Xn,,,,,48.217,16.3944,anonymous,DE,Yes,Male,22,3,7,7,sehr hoch,7,7,7,7,7,7,6,7,7,7,4,6,7,very low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 09:23:13,2025-11-17 10:10:56,IP Address,137.208.30.100,100,2862,True,2025-11-17 10:10:56,R_8J9QCfPb08Zrvb1,,,,,48.217,16.3944,anonymous,DE,Yes,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,5,6,5,5,4,4,6,5,4,5,5,5,2,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 10:13:54,2025-11-17 10:17:59,IP Address,137.208.30.100,100,245,True,2025-11-17 10:18:00,R_22xFeAF1TnkvEVK,,,,,48.217,16.3944,anonymous,DE,Yes,Male,"20
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,lehne völlig ab,,sehr niedrig,1,1,1,1,1,1,1,4,1,2,2,1,1,very low,No
2025-11-17 10:18:20,2025-11-17 10:19:28,IP Address,137.208.30.100,100,68,True,2025-11-17 10:19:29,R_8D56vaXbvEeoJ0U,,,,,48.217,16.3944,anonymous,DE,Yes,Male,"20
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,lehne völlig ab,lehne völlig ab,sehr niedrig,1,2,2,1,1,1,1,1,1,1,1,1,1,very low,No
2025-11-17 10:18:15,2025-11-17 10:30:28,IP Address,137.208.30.100,100,732,True,2025-11-17 10:30:28,R_8dFYRPoxIQ2Nak7,,,,,48.217,16.3944,anonymous,DE,Yes,Male,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,stimme völlig zu,,5,6,4,2,5,4,4,6,5,5,5,6,6,5,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 09:23:58,2025-11-17 10:55:27,IP Address,137.208.30.100,100,5488,True,2025-11-17 10:55:27,R_2WwlrNXj5QxhHRa,,,,,48.217,16.3944,anonymous,DE,Yes,Male,"21
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,5,5,4,4,4,4,4,3,5,5,1,1,5,No
2025-11-17 10:54:01,2025-11-17 10:59:13,IP Address,137.208.30.100,100,311,True,2025-11-17 10:59:13,R_2RyzbMfUZmEzSUd,,,,,48.217,16.3944,anonymous,DE,Yes,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,lehne völlig ab,,2,2,2,2,2,2,1,4,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 10:59:33,2025-11-17 11:01:55,IP Address,137.208.30.100,100,142,True,2025-11-17 11:01:56,R_2P6jvii9tZi3Q0P,,,,,48.217,16.3944,anonymous,DE,Yes,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,2,2,2,2,3,2,4,2,3,2,2,2,4,No
2025-11-17 09:18:04,2025-11-17 11:04:30,IP Address,137.208.30.100,100,6385,True,2025-11-17 11:04:30,R_8dSCLNajMmp5v1V,,,,,48.217,16.3944,anonymous,DE,Yes,Male,23,1,stimme völlig zu,,,4,3,3,4,4,3,3,3,4,2,2,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 11:01:09,2025-11-17 11:05:53,IP Address,137.208.30.100,100,284,True,2025-11-17 11:05:54,R_22x6518CvqUN6am,,,,,48.217,16.3944,anonymous,DE,Yes,Female,25,,,,,,,,,,,,,,,,,,,6,stimme völlig zu,,,6,6,6,5,5,5,5,6,4,4,4,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 11:04:39,2025-11-17 11:08:26,IP Address,137.208.30.100,100,227,True,2025-11-17 11:08:26,R_8oCo0P4es04zFpM,,,,,48.217,16.3944,anonymous,DE,Yes,Male,21,,,,,,,,,,,,,,,,,,,6,,,,3,3,3,3,4,2,2,7,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
2025-11-17 11:07:49,2025-11-17 11:10:20,IP Address,137.208.30.100,100,150,True,2025-11-17 11:10:20,R_2hDR5LU087yu4Mr,,,,,48.217,16.3944,anonymous,DE,Yes,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,6,5,3,4,4,4,4,5,2,2,2,2,4,4,,,,,,,,,,,,,,,,,,,No
2025-11-17 11:07:24,2025-11-17 11:11:10,IP Address,137.208.30.100,100,225,True,2025-11-17 11:11:11,R_21WPNOvFSgSacg3,,,,,48.217,16.3944,anonymous,DE,Yes,Female,20,2,,,,5,6,6,4,5,3,2,6,5,5,3,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 11:08:05,2025-11-17 11:11:45,IP Address,137.208.30.100,100,220,True,2025-11-17 11:11:45,R_2cTbrJhw7nbmXbV,,,,,48.217,16.3944,anonymous,DE,Yes,Female,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,5,5,5,5,5,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 11:09:28,2025-11-17 11:12:40,IP Address,137.208.30.100,100,191,True,2025-11-17 11:12:40,R_8hcJu2BN7SxVasg,,,,,48.217,16.3944,anonymous,DE,Yes,Male,25,,,,,,,,,,,,,,,,,,,6,lehne völlig ab,lehne völlig ab,sehr niedrig,1,1,1,1,1,1,1,2,1,1,1,1,1,very low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 11:19:29,2025-11-17 11:24:28,IP Address,137.208.30.100,100,298,True,2025-11-17 11:24:29,R_8UatqZAGcffUy8O,,,,,48.217,16.3944,anonymous,DE,Yes,Female,21,3,7,,,7,7,5,3,7,3,2,5,5,4,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 11:19:38,2025-11-17 11:29:04,IP Address,137.208.30.100,100,565,True,2025-11-17 11:29:04,R_2dWvo3zW0NWfu8x,,,,,48.217,16.3944,anonymous,DE,Yes,Female,22,3,,,,4,4,6,6,6,6,6,6,5,5,6,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2025-11-17 11:55:04,2025-11-17 11:59:59,IP Address,137.208.30.100,100,295,True,2025-11-17 12:00:00,R_8YhsnIFctKMbjy8,,,,,48.217,16.3944,anonymous,DE,Yes,Female,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,2,3,1,1,1,2,5,2,1,1,1,2,2,No
